,Children %,Self %,Binary,Library,Function
12,1.25,1.25,python3,python3.12,[.] _Py_HashBytes
13,2.63,1.23,python3,python3.12,[.] _Py_hashtable_get
14,4.47,1.17,python3,python3.12,[.] _PyDict_GetItem_KnownHash
42,0.53,0.35,python3,python3.12,[.] tuplehash
58,0.26,0.26,python3,python3.12,[.] hashtable_unicode_compare
60,1.46,0.24,python3,python3.12,[.] hashtable_unicode_hash
74,0.24,0.24,python3,python3.12,[.] PyObject_Hash
125,0.59,0.12,python3,python3.12,[.] _PyDict_GetItem_KnownHash
266,0.29,0.09,python3,python3.12,[.] unicode_hash
335,0.06,0.06,python3,python3.12,[.] _PyDict_DelItem_KnownHash
527,2.52,0.0,python3,python3.12,[.] _Py_hashtable_get_entry_generic (inlined)
603,1.22,0.0,python3,python3.12,[.] unicode_hash (inlined)
630,0.97,0.0,python3,_hashlib.cpython-312-x86_64-linux-gnu.so,[.] hashlib_md_meth_names
635,0.96,0.0,python3,python3.12,[.] pysiphash (inlined)
636,0.96,0.0,python3,python3.12,[.] siphash13 (inlined)
908,0.36,0.0,python3,ld-linux-x86-64.so.2,[.] _dl_new_hash (inlined)
971,0.29,0.0,python3,python3.12,[.] bytes_hash
1006,0.26,0.0,python3,python3.12,[.] _Py_hashtable_set
1206,0.13,0.0,python3,python3.12,[.] hashtable_rehash
1281,0.12,0.0,python3,python3.12,[.] _Py_hashtable_destroy
1578,0.12,0.0,python3,python3.12,[.] code_hash
1654,0.11,0.0,python3,_hashlib.cpython-312-x86_64-linux-gnu.so,[.] _openssl_hash_name_mapper
2105,0.06,0.0,python3,python3.12,[.] _PyDict_Pop_KnownHash (inlined)
